time,velocity
1.1320754716981132,-2.3547282516271713e-29
3.547169811320755,4.44538697172083e-30
5.962264150943397,-1.5957303229242934e-30
8.377358490566037,-4.578073045557889e-31
10.792452830188678,1.252035278200113e-29
13.207547169811322,-1.0655645069571694e-29
15.622641509433961,-2.6493430772413233e-29
18.037735849056606,1.7865113639529792e-28
20.452830188679247,-4.573396566858656e-28
22.867924528301888,1.0066907267445025e-27
25.28301886792453,-1.3431663600308772e-27
27.69811320754717,3.778251413735016e-28
30.11320754716981,1.4989815548627473e-27
32.52830188679245,-3.431989336648982e-26
34.94339622641509,2.2589520848262977e-26
37.35849056603774,1.3729018409073762e-26
39.77358490566038,-1.4922484168294011e-25
42.188679245283026,1.0224878160357264e-25
44.60377358490567,1.4755545674211842e-25
47.01886792452831,-1.6685881056257318e-25
49.43396226415095,-6.714139625061835e-27
51.84905660377359,1.6483722271304577e-26
54.26415094339623,1.0959442475332904e-25
56.67924528301887,-1.8757575470126422e-25
59.09433962264151,4.725618817716026e-28
61.509433962264154,-1.2668778425008733e-25
63.92452830188679,4.261370043371861e-26
66.33962264150944,1.9689483114070138e-26
68.75471698113208,-3.1533349104504216e-25
71.16981132075472,6.746514838486655e-25
73.58490566037736,3.234537463899922e-25
76.0,-1.756090643982371e-24
78.41509433962264,3.469870326317198e-26
80.83018867924528,3.412303568589534e-24
83.24528301886792,-2.0369410618672608e-24
85.66037735849056,-1.8104604259758886e-24
88.0754716981132,2.51925484896183e-24
90.49056603773585,-6.716262057096423e-24
92.90566037735849,-4.0041124148202645e-23
95.32075471698113,2.1907185756173095e-23
97.73584905660377,4.613462815918392e-24
100.15094339622641,-9.815122444745872e-24
102.56603773584905,8.948712041880028e-23
104.9811320754717,-1.44299864237371e-22
107.39622641509433,6.025781600397617e-23
109.81132075471697,1.4521085389506496e-22
112.22641509433961,-1.2952135734079404e-22
114.64150943396226,7.042089012130832e-23
117.0566037735849,-1.4555685358355656e-23
119.47169811320755,-1.8932062845468205e-23
121.88679245283019,5.999379299992767e-24
124.30188679245283,2.9626885178775047e-23
126.71698113207547,-3.117097490651092e-22
